epoch,train_loss,val_loss
1,2.6945979074264566,0.05325880625085639
2,0.06574008718806519,0.012925377466239124
3,0.05940427584781511,0.06105538633363765
4,0.04435372922078906,0.06059373794345274
5,0.03543139475209284,0.013456396196575258
6,0.017717483751281786,0.0026249598172615237
7,0.009446310371623396,0.016514438618850408
8,0.006406541458307488,0.0010278167193454074
9,0.004328977147434627,0.001695526121260454
10,0.0043082628132175334,0.003725317296422353
11,0.005625664446623497,0.0016498510099370919
12,0.0015499395435091131,0.0019149015703684806
13,0.002626375588338955,0.016363458150798187
14,0.002076615793417399,0.001454361944308316
15,0.0022359081761221334,0.0015299550200108484
16,0.0014740933353269135,0.0011483765572068347
17,0.001646593113916121,0.000823977156133402
18,0.0017142272610077012,0.0035329087466899572
19,0.0010140317446235886,0.0027378796287285652
20,0.0012978862240440017,0.00048265553132729284
21,0.0010763021318347281,0.0005149376458489098
22,0.000949045046471448,0.00034783770544371303
23,0.0008861394272528178,0.0003911904254242212
24,0.0009180409302643966,0.0003250838242690536
25,0.0008486180940075255,0.00033141215435318285
26,0.0012570607074394503,0.0004142751718063664
27,0.0005855155151472163,0.0006148055435915012
28,0.0008045436058204186,0.0003488964695775177
29,0.0006607495774135583,0.0003068233356337996
30,0.0006432223539637302,0.000532785970443954
31,0.0006089272095431668,0.0005663608624326159
32,0.0005928717801149711,0.0003074034685553107
33,0.0005335886573166568,0.0003072991641298965
34,0.0005537370134247577,0.0008672955316883634
35,0.0009263884100944,0.00044279624008985205
36,0.0005234566377285296,0.0007343115839397623
37,0.0005002803415404092,0.0005132665330079146
38,0.0006094191548505651,0.00031956053035606775
39,0.00041886502433390846,0.0003292369401822812
40,0.0005212158643925726,0.0007626374863320962
41,0.00048037749676214367,0.00032997397663945904
42,0.00046839223475780313,0.0002848150164763432
43,0.0004475688667753275,0.0004103821137548602
44,0.00044726697564372096,0.00030029937672571537
45,0.0004172811288039416,0.0005316313682193314
46,0.00047066963657882644,0.0002703723098853689
47,0.00039173118490387946,0.000389632635384866
48,0.0004209802489488842,0.00030032030260718743
49,0.0003872608212813724,0.0004228203994378938
50,0.0004064677263375502,0.00033973924083901305
51,0.0003599428381178205,0.00036847946700748125
52,0.00040067234623339094,0.00029008471016736407
53,0.00037299477255709504,0.00028024779662484347
54,0.00038445891714867944,0.00025937669577268975
55,0.0003803039924453818,0.00036396701614735535
56,0.0003586314257128314,0.0002604876157355258
57,0.00035186320012490753,0.0002679209971921366
58,0.000383366141208864,0.0003261002302679117
59,0.000359220252271154,0.0005292432483007101
60,0.0003442801150023505,0.0003131091808817083
61,0.00035154888770150484,0.0012549311379968589
62,0.000346614631936453,0.00036455386249318033
63,0.00033046971999456653,0.0002795108921851525
64,0.0003336701041397256,0.0002592778689740087
65,0.00034798358929471026,0.00026578779242992736
66,0.00035401033284133954,0.0013172800754546188
67,0.00032318542016582794,0.00026187676334778925
68,0.0003455510555254261,0.00030633284883324884
69,0.0003220212983056367,0.0003576430899989819
70,0.0003376819395920653,0.00026586304391327886
71,0.0003680372875351168,0.0003090047181493511
72,0.00034561855543524,0.000257090850005798
73,0.0003312904955930121,0.00045503124207850004
74,0.0003099065784508206,0.0002928047683564641
75,0.00030702789827262764,0.0004014921946474628
76,0.00032913223380351804,0.00036141491940118914
77,0.0003230138487586893,0.00040389006664467856
78,0.00030041679951214715,0.0003329640819737549
79,0.0003027178545943614,0.0004135935919077296
80,0.0002937471095373483,0.00027739436679786154
81,0.00031661791513865214,0.00029897982862859776
82,0.00030422897803613784,0.0002609535009642492
83,0.0003192794720797836,0.0002557828891202094
84,0.000328792927168598,0.0003962636838834788
85,0.000310606763646536,0.0002851852839718222
86,0.00029249929750568257,0.000273604737100998
87,0.00029743564078844864,0.00025957382603164226
88,0.0002969305744023759,0.0003178252470336572
89,0.0002937068918808585,0.0004677331933288813
90,0.0002904908599313265,0.00026399518633081156
91,0.00028877165162027396,0.0002695262586430978
92,0.00028986679242388205,0.00025765197842918583
93,0.0003068429545129177,0.0002762615753280919
94,0.00028664114802917797,0.00032668769879473116
95,0.00029300972282942983,0.000274545602927728
96,0.0002735810692965537,0.00025364972099764386
97,0.0002859061265661737,0.00036782967184817173
98,0.0002833189703107477,0.00030003688412502276
99,0.0002913735505357874,0.00025434792496525915
100,0.0002947012393265357,0.0002541104420721413
101,0.0002847765784692802,0.00025865771725702436
102,0.00027476195815498135,0.0003898760240276932
103,0.0002797787078850975,0.0004864364764216589
104,0.0002894439242092111,0.000287439965913585
105,0.000281503491422492,0.00026393898229755343
106,0.0002665322893963527,0.0002550736641664809
107,0.00030150294672759106,0.00038487479267652295
108,0.00028163806666184213,0.0003116436536012251
109,0.000277881337743089,0.0002515677894648217
110,0.00027183769405686085,0.000285735340661458
111,0.0002644327825908563,0.00025053059056560976
112,0.0002741157271841422,0.0002571968428323349
113,0.0002673655537169647,0.00027104121292203284
114,0.0002623208977768497,0.0002726105589794142
115,0.0002689326233610787,0.0002557848038339303
116,0.0002694502429849741,0.00038192947816978196
117,0.0002611725816266352,0.00029505867184655344
118,0.0002617464931214878,0.00036290568147835856
119,0.0002676703679623772,0.00027285167785911265
120,0.00026967127206435615,0.00027016995932171994
121,0.00025865688939380303,0.0002498880786615267
122,0.00025758454090854294,0.0002600322207269658
123,0.00026542553375639684,0.00025345982033373035
124,0.00026173922471484513,0.0002754162882021254
125,0.00026113157013501874,0.0002747963914684771
126,0.0002730597955416583,0.0002529631462840327
127,0.0002489233205583982,0.0003127206686518288
128,0.0002620032450695795,0.00027603807616504214
129,0.00025647014727144863,0.000252308437547115
130,0.0002614260323384986,0.00025139805690005667
131,0.0002855049798805946,0.0002822173117974238
132,0.00025356064968383137,0.00027223016245226886
133,0.00025808935959589904,0.00033615127196234037
134,0.0002488081573162725,0.0004060051116019687
135,0.00027271784126155365,0.0002888056974587103
136,0.00024173088458199,0.0002558886758487504
137,0.0002531901684527665,0.00027582504140983
138,0.00025774431023386395,0.0002544664990593793
139,0.00025015737017037323,0.0002682143934266822
140,0.0002529017562102083,0.00038409586237061636
141,0.00026643710514993776,0.0003967804692971792
142,0.0002504825821775046,0.0004312854424868073
143,0.00025547933611440906,0.0002511043215539151
144,0.00025507057302785963,0.0003661548982910019
145,0.00024721547318308913,0.0004594393987125451
146,0.0002467311010886555,0.00028908499617890423
147,0.00025337863447540647,0.00026840670740230487
148,0.00025183238991693154,0.0002766134063373708
149,0.00024829900187883357,0.0002958338586939222
150,0.0002586512970104931,0.0003254979325599076
151,0.0002476089987426565,0.0002668880733186337
152,0.00024189470617178206,0.00041265524086633203
153,0.00024606303845108154,0.0002506361861703356
154,0.0002608459639283129,0.0002808269770347189
155,0.00024484876579273466,0.000273286583835995
156,0.00024280642084834525,0.0002530431442361684
157,0.00024443939964839955,0.0002474838309115599
158,0.0002493478142501512,0.00025998613298162086
159,0.00024107031479702744,0.00030050208241456336
160,0.0002514227367144139,0.0002539390216909288
161,0.00024150596705329095,0.00025720749702140024
162,0.0002412396839147169,0.00028793705372923535
163,0.00023862502656854867,0.00036700740405476174
164,0.0002495266186975814,0.00025747114856737124
165,0.0002439253865781038,0.0002897655399465293
166,0.00024308396671239322,0.0002521264766853294
167,0.0002482116930076743,0.0002506752399269663
168,0.0002444043960752294,0.00029833641552353844
169,0.00024710450638416485,0.0002473592730460777
170,0.00023939556752858543,0.00026543033274200364
171,0.00024198441637963698,0.00027324689667044107
172,0.00024311214477468941,0.00025629944281847984
173,0.00023943279135805608,0.0002503511534000392
174,0.00024008662384230342,0.0002616210105792388
175,0.00023901427426998063,0.00025755914291602535
176,0.00023711733837054842,0.0002471872506010273
177,0.0002367364659329767,0.00024940514997849405
178,0.0002423184369100844,0.00026852653480177865
179,0.00023970934312057493,0.0003208618058600959
180,0.00023361086167434614,0.00025804431627529125
181,0.0002376602312800796,0.0003211966833684225
182,0.00024389781607342663,0.0002776613465747297
183,0.00023584637580738457,0.0002588746587034187
184,0.0002480008568281413,0.00026723494878362023
185,0.00023498125029575368,0.0002464821049584099
186,0.00024235867999128198,0.00024758431710497896
187,0.00023941960620547996,0.00024615723756531746
188,0.00023427252831208448,0.00024935606727792347
189,0.00023567694445210649,0.00039885314665644687
190,0.00024226976852332883,0.00033679784272473104
191,0.00023781358501028514,0.00025887641232830426
192,0.00023179065118971007,0.00024930309213492104
193,0.0002419011257167031,0.00026165629199004757
194,0.000241242541449624,0.0002660996439252423
195,0.00023203263344190157,0.0002637223112850777
196,0.0002373386000532004,0.0003236351020686492
197,0.00023820584910503212,0.0002607507752665177
198,0.00023638665297550602,0.0002597262717656468
199,0.00023119647288305194,0.0002713522497699506
200,0.00023507776192370025,0.0002512368625849333
201,0.00024942712704744606,0.0002518841496068836
202,0.00022566464913758127,0.00025176343854668845
203,0.00023811697741447937,0.00031685071393266774
204,0.00022647423288401028,0.000287020148724488
205,0.00023185089593902203,0.00028918539586205344
206,0.00023748747235653614,0.00029876578966130704
207,0.00023293324249520775,0.0002518397655400068
208,0.0002289405831907927,0.00024953055653246077
209,0.00023468565024727252,0.0002506530149947226
210,0.00023489721672073454,0.00027056014210930223
211,0.00023605435387166618,0.0002601887678381553
212,0.00023837067326548138,0.0002573538103682776
213,0.00023131419007941509,0.0002910261918086256
214,0.00022995383226208062,0.0002846455914182332
215,0.0002305142282022557,0.00025696537547792973
216,0.0002226063111937124,0.000246341795153577
217,0.00023513076115748498,0.00030280576445528863
218,0.00023684909971658877,0.00034381298893917814
219,0.00023033325702661906,0.00025397881548390916
220,0.00022850212872721647,0.0002610881758539021
221,0.00022584962262044427,0.0002508463561579923
