epoch,train_loss,val_loss
1,10.553199613695254,0.17859976552426815
2,0.08222521429526664,0.027970238688534925
3,0.05741379391291134,0.030352883406781724
4,0.10476272927120417,0.10845259381901651
5,0.0627840723847926,0.1656180980304877
6,0.07884614487577762,0.15087568147906236
7,0.05518245897144966,0.12009284476793948
8,0.053008275863248855,0.014714319425235902
9,0.0556179915078073,0.025253162863442584
10,0.053366335484177053,0.022889145433769693
11,0.05711659800394305,0.027400095326205093
12,0.040806260606872716,0.06954540454206012
13,0.05436249107809826,0.014005897744070916
14,0.03995180775167509,0.01418250729329884
15,0.03561598778136873,0.05686403990590146
16,0.04321198629304057,0.023056998638258802
17,0.041391741997185386,0.01267864913790531
18,0.031569455325093476,0.011065235281074863
19,0.04074080484653158,0.014291281800805813
20,0.026635741517280362,0.07486123720272667
21,0.02807625902350992,0.050983210715154804
22,0.029541255553652133,0.008749678414980215
23,0.02415060278283255,0.022950108767309713
24,0.024840799808901335,0.011548466620124168
25,0.015604148430949344,0.022525887393082183
26,0.009268078317178324,0.004299400607123971
27,0.005983911854370186,0.0019924286593561106
28,0.005818448749570442,0.0050813183770515025
29,0.02043613796593577,0.004027077517960043
30,0.002351024849174012,0.001306587352398007
31,0.002661215359832914,0.002208537818487024
32,0.005514730629996242,0.002503700723450276
33,0.006810193780672437,0.0021529675522331325
34,0.003299105114170483,0.0036925876490949165
35,0.004786675478126632,0.0013540265873806284
36,0.0025195875848848595,0.0028193206748082524
37,0.00689135260805155,0.0009386659439769574
38,0.0028825602481707133,0.017851159020903565
39,0.011646113515252226,0.014765117004225474
40,0.006251454275341183,0.0006855203185599142
41,0.0017538960944096158,0.0011336724862866547
42,0.0012358397316780784,0.005100311035112966
43,0.0037182358245315427,0.0007964852595164086
44,0.0028039210417773576,0.0052448019684691516
45,0.0027479418961038823,0.0016783348207051556
46,0.0023961920089883887,0.0028995811395968
47,0.004343001826574826,0.0006458259236491618
48,0.0037201609254615114,0.09141351406772931
49,0.0033596401646458877,0.000808340616328808
